name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mileage_value,mileage_unit,engine_cc,power_bhp
maruti swift dzire vdi,2014,450000,145500,diesel,individual,manual,first owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,kmpl,1248.0,74.0
skoda rapid 1.5 tdi ambition,2014,370000,120000,diesel,individual,manual,second owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,21.14,kmpl,1498.0,103.52
honda city 2017-2020 exi,2006,158000,140000,petrol,individual,manual,third owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,17.7,kmpl,1497.0,78.0
hyundai i20 sportz diesel,2010,225000,127000,diesel,individual,manual,first owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,23.0,kmpl,1396.0,90.0
maruti swift vxi bsiii,2007,130000,120000,petrol,individual,manual,first owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0,16.1,kmpl,1298.0,88.2
hyundai xcent 1.2 vtvt e plus,2017,440000,45000,petrol,individual,manual,first owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,20.14,kmpl,1197.0,81.86
maruti wagon r lxi duo bsiii,2007,96000,175000,lpg,individual,manual,first owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0,17.3,km/kg,1061.0,57.5
maruti 800 dx bsii,2001,45000,5000,petrol,individual,manual,second owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,kmpl,796.0,37.0
toyota etios vxd,2011,350000,90000,diesel,individual,manual,first owner,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5.0,23.59,kmpl,1364.0,67.1
ford figo diesel celebration edition,2013,200000,169000,diesel,individual,manual,first owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0,20.0,kmpl,1399.0,68.1
renault duster 110ps diesel rxl,2014,500000,68000,diesel,individual,manual,second owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0,19.01,kmpl,1461.0,108.45
maruti zen lx,2005,92000,100000,petrol,individual,manual,second owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,17.3,kmpl,993.0,60.0
maruti swift dzire vdi,2009,280000,140000,diesel,individual,manual,second owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,73.9
