make,model,price,year,kilometer,fuel_type,transmission,location,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length,width,height,seating_capacity,fuel_tank_capacity,power_bhp,torque_nm
honda,amaze 1.2 vx i-vtec,505000,2017,87150,petrol,manual,pune,grey,first,corporate,1198 cc,87 bhp @ 6000 rpm,109 nm @ 4500 rpm,fwd,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0
maruti suzuki,swift dzire vdi,450000,2014,75000,diesel,manual,ludhiana,white,second,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0
hyundai,i10 magna 1.2 kappa2,220000,2011,67000,petrol,manual,lucknow,maroon,first,individual,1197 cc,79 bhp @ 6000 rpm,112.7619 nm @ 4000 rpm,fwd,3585.0,1595.0,1550.0,5.0,35.0,79.0,112.7619
toyota,glanza g,799000,2019,37500,petrol,manual,mangalore,red,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0
toyota,innova 2.4 vx 7 str [2016-2020],1950000,2018,69000,diesel,manual,mumbai,grey,first,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,148.0,343.0
maruti suzuki,ciaz zxi,675000,2017,73315,petrol,manual,pune,grey,first,individual,1373 cc,91 bhp @ 6000 rpm,130 nm @ 4000 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0
mercedes-benz,cla 200 petrol sport,1898999,2015,47000,petrol,automatic,mumbai,white,second,individual,1991 cc,181 bhp @ 5500 rpm,300 nm @ 1200 rpm,fwd,4630.0,1777.0,1432.0,5.0,50.0,181.0,300.0
bmw,x1 xdrive20d m sport,2650000,2017,75000,diesel,automatic,coimbatore,white,second,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,awd,4439.0,1821.0,1612.0,5.0,51.0,188.0,400.0
skoda,octavia 1.8 tsi style plus at [2017],1390000,2017,56000,petrol,automatic,mumbai,white,first,individual,1798 cc,177 bhp @ 5100 rpm,250 nm @ 1250 rpm,fwd,4670.0,1814.0,1476.0,5.0,50.0,177.0,250.0
nissan,terrano xl (d),575000,2015,85000,diesel,manual,mumbai,white,first,individual,1461 cc,84 bhp @ 3750 rpm,200 nm @ 1900 rpm,fwd,4331.0,1822.0,1671.0,5.0,50.0,84.0,200.0
hyundai,elite i20 sportz 1.2,591000,2017,20281,petrol,manual,mumbai,red,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
renault,kwid 1.0 rxt [2016-2019],459999,2018,22541,petrol,manual,bangalore,grey,first,individual,999 cc,67 bhp @ 5500 rpm,91 nm @ 4250 rpm,fwd,3679.0,1579.0,1478.0,5.0,28.0,67.0,91.0
maruti suzuki,ciaz alpha hybrid 1.5 at [2018-2020],1075000,2019,30672,petrol,automatic,bangalore,blue,first,individual,1462 cc,103 bhp @ 6000 rpm,138 nm @ 4400 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,103.0,138.0
tata,harrier xz [2019-2020],1695000,2019,20856,diesel,manual,bangalore,orange,first,individual,1956 cc,138 bhp @ 3750 rpm,350 nm @ 1750 rpm,fwd,4598.0,1894.0,1706.0,5.0,50.0,138.0,350.0
volkswagen,polo gt tsi,944999,2017,41417,petrol,automatic,bangalore,grey,first,individual,1197 cc,103 bhp @ 5000 rpm,175 nm @ 1500 rpm,fwd,3971.0,1682.0,1469.0,5.0,45.0,103.0,175.0
maruti suzuki,celerio zxi amt [2019-2020],569000,2016,11471,petrol,automatic,bangalore,red,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3695.0,1600.0,1560.0,5.0,35.0,67.0,90.0
maruti suzuki,alto 800 lxi (o),449000,2019,3583,petrol,manual,bangalore,grey,first,individual,796 cc,47 bhp @ 6000 rpm,69 nm @ 3500 rpm,fwd,3445.0,1515.0,1475.0,5.0,35.0,47.0,69.0
maruti suzuki,baleno alpha automatic,894999,2018,21365,petrol,automatic,bangalore,grey,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0
maruti suzuki,wagon r zxi 1.2 amt,699000,2020,30777,petrol,automatic,bangalore,white,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3655.0,1620.0,1675.0,5.0,32.0,82.0,113.0
hyundai,creta 1.6 e petrol,740000,2016,60125,petrol,manual,delhi,silver,first,individual,1591 cc,122 bhp @ 6400 rpm,154 nm @ 4850 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0
maruti suzuki,s-presso vxi amt,470000,2020,2169,petrol,automatic,mumbai,grey,first,individual,998 cc,67 bhp @ 5500 rpm,90 nm @ 3500 rpm,fwd,3565.0,1520.0,1564.0,5.0,27.0,67.0,90.0
volkswagen,vento comfortline petrol at,765000,2015,60240,petrol,automatic,bangalore,brown,first,individual,1197 cc,103 bhp @ 5000 rpm,153 nm @ 3800 rpm,fwd,4384.0,1699.0,1466.0,5.0,55.0,103.0,153.0
hyundai,santro sportz amt [2018-2020],589000,2018,13772,petrol,automatic,bangalore,white,first,individual,1086 cc,68 bhp @ 5500 rpm,99 nm @ 4500 rpm,fwd,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0
